user_id,event_id,platform,date,action,session_id,url
1d196d48-da64-43e0-84bc-bb9279ecf7d0,bd7f89ed-115c-489a-92ee-dbc36642d5f2,ios,06-02-2023 04:03:58,view,bd7f89ed-115c-489a-92ee-dbc36642d5f2,https://databricks.com/
d188a854-8701-409e-8619-92eb443023ec,606f83e5-2e0a-45c8-8aa5-eb1cc255e59e,ios,06-07-2023 05:12:45,view,606f83e5-2e0a-45c8-8aa5-eb1cc255e59e,https://databricks.com/category/explore/index.php
921cc793-0dbf-425e-9af6-086af9757da3,3e520948-b561-49a9-aed8-6484e823432b,ios,06-04-2023 16:55:26,view,3e520948-b561-49a9-aed8-6484e823432b,https://databricks.com/register/
cf0efbf1-5dfa-4234-b959-98175d5a32d4,b207e7e8-06b4-469a-bb50-b6a41ac2db3d,other,06-01-2023 10:42:53,click,b207e7e8-06b4-469a-bb50-b6a41ac2db3d,https://databricks.com/
2a40f532-bb66-432a-b33c-97961fcef4c7,2a071ee1-b38b-4b7a-942e-624be23f98c6,ios,06-02-2023 01:46:00,view,2a071ee1-b38b-4b7a-942e-624be23f98c6,https://databricks.com/search/category/homepage/
511ab66d-936c-4a24-8d6d-c4ef54c400f8,691506b2-3599-4485-81d6-8d5ecba7a36b,android,06-06-2023 20:54:21,log,691506b2-3599-4485-81d6-8d5ecba7a36b,https://databricks.com/
6d7f1f68-2c4b-4296-88ae-22de03a42a2d,74b6fbd0-c816-4c4d-aef9-3d35810ef156,other,06-03-2023 16:08:34,click,74b6fbd0-c816-4c4d-aef9-3d35810ef156,https://databricks.com/main/
01422d8d-83c9-4518-985e-2625e9e2fca2,4976c829-fdcf-41e9-a87c-f9c816d3a5c7,other,06-04-2023 02:06:29,click,4976c829-fdcf-41e9-a87c-f9c816d3a5c7,https://databricks.com/
11f4e578-ea63-4ceb-93c1-06dd9dbb0ec5,e0ef1c7b-4b14-466d-b2e0-ca8d5d3e2dc2,other,06-07-2023 16:13:11,click,e0ef1c7b-4b14-466d-b2e0-ca8d5d3e2dc2,https://databricks.com/homepage/
9cdf4b79-496c-4231-a277-ca4b9126a814,fff0aa19-c43c-4c90-a33f-e64541dfe840,ios,06-02-2023 09:09:40,view,fff0aa19-c43c-4c90-a33f-e64541dfe840,https://databricks.com/terms/
f2147784-5554-40d6-90dc-50ea73085d42,4e5ccaa9-e79a-4c47-bbe6-d8da167b84d7,ios,06-03-2023 21:06:16,view,4e5ccaa9-e79a-4c47-bbe6-d8da167b84d7,https://databricks.com/privacy.htm
a8cda88b-1a68-426e-9597-2a5c575d82da,abc6a1db-aed5-4e3e-9244-67267684d54b,ios,06-06-2023 05:04:49,view,abc6a1db-aed5-4e3e-9244-67267684d54b,https://databricks.com/blog/category/category/
46cdefca-cb24-4d50-a9d1-8ae56d895a09,6d4c8886-c6cf-4888-a90d-301f86ede202,other,06-05-2023 01:11:31,click,6d4c8886-c6cf-4888-a90d-301f86ede202,https://databricks.com/tag/posts/wp-content/index/
876ab623-bd18-49fb-88ab-331673724a2e,430d44e5-be9f-4720-a3ce-daa1a1854f09,ios,06-03-2023 01:23:20,view,430d44e5-be9f-4720-a3ce-daa1a1854f09,https://databricks.com/terms/
ea7d86e0-aab1-49f1-8f24-575b56719c64,949f344a-53e4-4d1e-a85f-3158f852e7de,ios,06-05-2023 18:15:01,view,949f344a-53e4-4d1e-a85f-3158f852e7de,https://databricks.com/explore/search/main/homepage.jsp
